env,method,seed,ckpt,fqe,ood_mean,ood_p50,ood_p90,ood_p95
hopper-medium-replay-v2,bc,0,generated_data/bc_hopper_medium_replay_v2_seed0.pt,96.6799087524414,0.28324928879737854,0.2547197490930557,0.49759708940982844,0.5860544472932815
hopper-medium-replay-v2,bc,1,generated_data/bc_hopper_medium_replay_v2_seed1.pt,105.01384735107422,0.28353965282440186,0.2551821172237396,0.4984752207994463,0.586577033996582
hopper-medium-replay-v2,bc,2,generated_data/bc_hopper_medium_replay_v2_seed2.pt,95.14945220947266,0.28988227248191833,0.26281730830669403,0.5057929933071137,0.5932848185300821
walker2d-medium-v2,bc,0,generated_data/bc_walker2d_medium_v2_seed0.pt,285.6068420410156,0.25251004099845886,0.2280128300189972,0.4012269079685211,0.4852739408612247
walker2d-medium-v2,bc,1,generated_data/bc_walker2d_medium_v2_seed1.pt,276.9394836425781,0.2637447416782379,0.23672396689653397,0.4210685193538666,0.5123068511486053
walker2d-medium-v2,bc,2,generated_data/bc_walker2d_medium_v2_seed2.pt,269.0667724609375,0.2656702697277069,0.23864095658063889,0.4245026171207428,0.5150330066680906
hopper-medium-replay-v2,iql,0,generated_data/iql_hopper_medium_replay_v2_seed0.pt,122.46105194091797,0.787287175655365,0.8208675980567932,1.175848114490509,1.2693359017372132
hopper-medium-replay-v2,iql,1,generated_data/iql_hopper_medium_replay_v2_seed1.pt,145.97525024414062,0.8415142297744751,0.8766410648822784,1.2745184421539308,1.3769792854785918
hopper-medium-replay-v2,iql,2,generated_data/iql_hopper_medium_replay_v2_seed2.pt,101.8578872680664,0.8019276261329651,0.8299036026000977,1.195939612388611,1.2906367003917694
hopper-medium-replay-v2,iql_u,0,generated_data/iql_u_hopper_medium_replay_v2_seed0.pt,109.45128631591797,0.7849968671798706,0.790357381105423,1.2190879344940193,1.3281170427799223
hopper-medium-replay-v2,iql_u,1,generated_data/iql_u_hopper_medium_replay_v2_seed1.pt,115.29072570800781,0.7614381909370422,0.7922684848308563,1.135299587249756,1.2264469981193542
hopper-medium-replay-v2,iql_u,2,generated_data/iql_u_hopper_medium_replay_v2_seed2.pt,144.1379852294922,0.783056914806366,0.8008306622505188,1.1850084781646733,1.2608020603656769
walker2d-medium-v2,iql_u,0,generated_data/iql_u_walker2d_medium_v2_seed0.pt,285.7555847167969,0.2498229742050171,0.22575049102306366,0.40441627204418185,0.4888694971799849
walker2d-medium-v2,iql_u,1,generated_data/iql_u_walker2d_medium_v2_seed1.pt,311.4449157714844,0.2490909993648529,0.2236626148223877,0.40252014696598054,0.4851037099957466
walker2d-medium-v2,iql_u,2,generated_data/iql_u_walker2d_medium_v2_seed2.pt,248.48977661132812,0.2518331706523895,0.22611962258815765,0.405271390080452,0.4890857428312298
walker2d-medium-v2,iql,0,generated_data/iql_walker2d_medium_v2_seed0.pt,336.6769714355469,0.25324538350105286,0.23045266419649124,0.4114596903324127,0.495391684770584
walker2d-medium-v2,iql,1,generated_data/iql_walker2d_medium_v2_seed1.pt,276.9835510253906,0.25646576285362244,0.23208462446928024,0.4174203574657441,0.5023840993642807
walker2d-medium-v2,iql,2,generated_data/iql_walker2d_medium_v2_seed2.pt,319.8918151855469,0.2550743818283081,0.23108556121587753,0.4155463010072708,0.4987926244735717
hopper-medium-replay-v2,td3bc,0,generated_data/td3bc_hopper_medium_replay_v2_seed0.pt,100.14804077148438,0.2763115167617798,0.24934110045433044,0.4925656408071518,0.5777946770191192
hopper-medium-replay-v2,td3bc,1,generated_data/td3bc_hopper_medium_replay_v2_seed1.pt,103.9275131225586,0.27604779601097107,0.24838293343782425,0.4926019996404648,0.5810358583927153
hopper-medium-replay-v2,td3bc,2,generated_data/td3bc_hopper_medium_replay_v2_seed2.pt,104.86907196044922,0.2745695412158966,0.24669868499040604,0.4921217113733292,0.5810069233179088
hopper-medium-replay-v2,td3bc_u_pessimistic,0,generated_data/td3bc_u_hopper_medium_replay_v2_seed0.pt,98.63327026367188,0.2757720649242401,0.24843379110097885,0.4914395540952683,0.57752768099308
hopper-medium-replay-v2,td3bc_u_pessimistic,1,generated_data/td3bc_u_hopper_medium_replay_v2_seed1.pt,103.3087158203125,0.27603012323379517,0.24830497056245804,0.4937070071697235,0.5807120651006697
hopper-medium-replay-v2,td3bc_u_pessimistic,2,generated_data/td3bc_u_hopper_medium_replay_v2_seed2.pt,105.75524139404297,0.2744523584842682,0.24692292511463165,0.4922208160161972,0.5817514955997467
walker2d-medium-v2,td3bc_u_pessimistic,0,generated_data/td3bc_u_walker2d_medium_v2_seed0.pt,346.0623474121094,0.24865658581256866,0.22614213824272156,0.4007568806409836,0.48290828466415403
walker2d-medium-v2,td3bc_u_pessimistic,1,generated_data/td3bc_u_walker2d_medium_v2_seed1.pt,341.0140075683594,0.2501569092273712,0.22742882370948792,0.40236907303333286,0.4838904380798339
walker2d-medium-v2,td3bc_u_pessimistic,2,generated_data/td3bc_u_walker2d_medium_v2_seed2.pt,370.2153015136719,0.24969664216041565,0.22635184228420258,0.40386803746223454,0.4848454639315604
walker2d-medium-v2,td3bc,0,generated_data/td3bc_walker2d_medium_v2_seed0.pt,336.49237060546875,0.249081090092659,0.22639833390712738,0.4006526976823807,0.4832223445177078
walker2d-medium-v2,td3bc,1,generated_data/td3bc_walker2d_medium_v2_seed1.pt,355.0590515136719,0.2496510148048401,0.22683390974998474,0.40114861428737647,0.48307570964097973
walker2d-medium-v2,td3bc,2,generated_data/td3bc_walker2d_medium_v2_seed2.pt,374.4386291503906,0.2496613711118698,0.2264542654156685,0.40351155400276184,0.48435229957103726
